0,1,2,3,4,5,6,7,8
True,193132,False,1,1,0,Y,0,MA
243040,429688,False,0,1,1,1,1,1
243040,429688,True,0,1,1,1,1,1
243040,429688,True,0,0,1,1,1,1
243040,429688,True,1,0,1,1,1,1
243040,429688,True,0,0,1,1,1,1
243040,429688,False,0,0,1,1,1,1
243040,429688,True,0,1,1,1,1,1
243040,429688,True,0,0,1,1,1,1
243040,429688,True,1,0,1,1,1,1
243040,429688,True,0,0,1,1,1,1
243040,429711,False,0,0,1,1,1,1
243040,429711,True,1,1,1,1,1,1
243040,429711,True,0,0,1,1,1,1
243040,429711,True,1,0,1,1,1,1
243040,429711,True,0,0,1,1,1,1
243040,429711,False,1,0,1,1,1,1
243040,429711,True,1,1,1,1,1,1
243040,429711,True,1,0,1,1,1,1
243040,429711,True,0,0,1,1,1,1
True,429711,True,1,0,0,Y,0,MA
500853788,1000683107,False,0,1,1,1,1,1
500853788,1000683107,True,1,1,1,1,1,1
500853788,1000683107,True,0,1,1,1,1,1
500853788,1000683107,True,0,1,1,1,1,1
500853788,1000683107,True,0,1,1,1,1,1
500853788,1000683107,False,0,1,1,1,1,1
500853788,1000683107,True,1,1,1,1,1,1
500853788,1000683107,True,0,1,1,1,1,1
500853788,1000683107,True,1,1,1,1,1,1
500853788,1000683107,True,1,1,1,1,1,1
500853788,1000683107,False,0,1,1,1,1,1
500853788,1000683107,True,0,1,1,1,1,1
500853788,1000683107,True,1,1,1,1,1,1
500853788,1000683107,True,1,1,1,1,1,1
500853788,1000683623,False,1,1,1,1,1,1
500853788,1000683623,True,1,1,1,1,1,1
500853788,1000683623,True,1,1,1,0,1,1
500853788,1000683623,True,1,1,1,0,1,1
500853788,1000683623,False,1,1,1,1,1,1
500853788,1000683623,True,1,1,1,1,1,1
500853788,1000683623,True,1,1,1,0,1,1
500853788,1000683623,True,1,1,1,1,1,1
500853788,1000683623,True,1,1,1,0,1,1
500853788,1000683623,False,1,1,1,1,1,1
500853788,1000683623,True,1,1,1,1,1,1
500853788,1000683623,True,1,1,1,0,1,1
True,1000683623,True,1,0,0,N,0,MA
True,507957,False,1,0,0,Y,0,MA
True,512659,False,1,1,0,Y,0,MA
775024350,304191,False,1,1,1,1,1,1
775024350,304191,True,1,1,1,1,0,1
775024350,304191,True,1,1,1,1,0,1
775024350,304191,True,0,1,1,1,1,1
775024350,304191,True,1,1,1,1,1,1
775024350,304191,False,0,1,1,1,1,1
775024350,304191,True,1,1,1,1,0,1
775024350,304191,True,1,1,1,1,0,1
775024350,304191,True,1,1,1,1,1,1
775024350,304191,True,0,1,1,1,1,1
775024350,304191,False,0,1,1,1,1,1
775024350,304191,True,1,1,1,1,0,1
775024350,304191,True,1,1,1,1,0,1
775024350,304191,True,1,1,1,1,1,1
775024350,304191,True,1,1,1,1,1,1
775024350,304191,False,1,1,1,1,1,1
775024350,304191,True,1,1,1,1,0,1
775024350,304191,True,1,1,1,1,1,1
775024350,304191,True,1,1,1,1,1,1
775024350,304191,True,1,0,0,Y,0,MA
