Indiv_id_case_id	id	RULE_TOT_INC_AMT	RULE_AID_REQUEST_SW	RULE_ACTIVE_IN_CASE_SW	US_CITIZEN_SW	RULE_RESIDENCY_STATE_CD	PROG_CD
243040_429688	0	0	1	1	1	1	1
243040_429688	1	0	1	1	1	1	1
243040_429688	1	0	0	1	1	1	1
243040_429688	1	1	0	1	1	1	1
243040_429688	1	0	0	1	1	1	1
243040_429688	0	0	0	1	1	1	1
243040_429688	1	0	1	1	1	1	1
243040_429688	1	0	0	1	1	1	1
243040_429688	1	1	0	1	1	1	1
243040_429688	1	0	0	1	1	1	1
243040_429711	0	0	0	1	1	1	1
243040_429711	1	1	1	1	1	1	1
243040_429711	1	0	0	1	1	1	1
243040_429711	1	1	0	1	1	1	1
243040_429711	1	0	0	1	1	1	1
243040_429711	0	1	0	1	1	1	1
243040_429711	1	1	1	1	1	1	1
243040_429711	1	1	0	1	1	1	1
243040_429711	1	0	0	1	1	1	1
500853788_1000683107	0	0	1	1	1	1	1
500853788_1000683107	1	1	1	1	1	1	1
500853788_1000683107	1	0	1	1	1	1	1
500853788_1000683107	1	0	1	1	1	1	1
500853788_1000683107	1	0	1	1	1	1	1
500853788_1000683107	0	0	1	1	1	1	1
500853788_1000683107	1	1	1	1	1	1	1
500853788_1000683107	1	0	1	1	1	1	1
500853788_1000683107	1	1	1	1	1	1	1
500853788_1000683107	1	1	1	1	1	1	1
500853788_1000683107	0	0	1	1	1	1	1
500853788_1000683107	1	0	1	1	1	1	1
500853788_1000683107	1	1	1	1	1	1	1
500853788_1000683107	1	1	1	1	1	1	1
500853788_1000683623	0	1	1	1	1	1	1
500853788_1000683623	1	1	1	1	1	1	1
500853788_1000683623	1	1	1	1	0	1	1
500853788_1000683623	1	1	1	1	0	1	1
500853788_1000683623	0	1	1	1	1	1	1
500853788_1000683623	1	1	1	1	1	1	1
500853788_1000683623	1	1	1	1	0	1	1
500853788_1000683623	1	1	1	1	1	1	1
500853788_1000683623	1	1	1	1	0	1	1
500853788_1000683623	0	1	1	1	1	1	1
500853788_1000683623	1	1	1	1	1	1	1
500853788_1000683623	1	1	1	1	0	1	1
775024350_304191	0	1	1	1	1	1	1
775024350_304191	1	1	1	1	1	0	1
775024350_304191	1	1	1	1	1	0	1
775024350_304191	1	0	1	1	1	1	1
775024350_304191	1	1	1	1	1	1	1
775024350_304191	0	0	1	1	1	1	1
775024350_304191	1	1	1	1	1	0	1
775024350_304191	1	1	1	1	1	0	1
775024350_304191	1	1	1	1	1	1	1
775024350_304191	1	0	1	1	1	1	1
775024350_304191	0	0	1	1	1	1	1
775024350_304191	1	1	1	1	1	0	1
775024350_304191	1	1	1	1	1	0	1
775024350_304191	1	1	1	1	1	1	1
775024350_304191	1	1	1	1	1	1	1
775024350_304191	0	1	1	1	1	1	1
775024350_304191	1	1	1	1	1	0	1
775024350_304191	1	1	1	1	1	1	1
775024350_304191	1	1	1	1	1	1	1
